TITLE;AUTHORS
Investigating Loss Functions and Optimization Methods for Discriminative Learning of Label Sequences;Yasemin Altun Mark Johnson  Thomas Hofmann
The Fourier Transform -- A Primer;Hagit Shatkay Department Hagit Shatkay
Best Practices for Convolutional Neural Networks;Applied To Visual Patrice Y. Simard Dave Steinkraus John C. Platt
Towards Automatic Construction of Cell-Lineage of C. elegans from Nomarski DIC Microscope Images;Tomohiro Yasuda  Hideo Bannai  Shuichi Onami  Satoru Miyano  Hiroaki Kitano
Graceful Degradation of User Interfaces as a Design Method for Multiplatform Systems;Murielle Florins  Jean Vanderdonckt
Exclusion-based Signature Matching for Intrusion Detection;Evangelos P. Markatos Spyros Antonatos Michalis Polychronakis Kostas G. Anagnostakis
Navigation and Recognition in Complex Haptic Virtual Environments -- Reports;From An Extensive Charlotte Magnusson Kirsten Rassmus-gr�hn Calle Sj�str�m Henrik Danielsson
Preferences in Qualitative Coalitional Games;Paul E. Dunne Michael Wooldridge
Growth rate predicts mortality of Abies concolor;In Both Burned Phillip J. Van Mantgem Nathan L. Stephenson Linda S. Mutch Veronica G. Johnson Annie M. Esperanza David J. Parsons
CORBA and RM-ODP: Parallel or Divergent?;N. Dunlop  J. Indulska  K. A. Raymond N. Dunlop ? J. Indulska ? K. A. Raymond ?
A Middleware Architecture for Integrating Services on the Grid;Viraj N. Bhat
Generalization Error Bounds for Bayesian Mixture Algorithms;Ron Meir Tong Zhang Thore Graepel Ralf Herbrich
The Development and Evolution of TREC and DUC;Donna Harman Retrieval
Dynamic Prefetching in the Virtual Memory Window of Portable Reconfigurable Coprocessors;Miljan Vuletic  Laura Pozzi Paolo Ienne
CINNIC, a new computational algorithm for;The Modeling Of T. Nathan Mundhenk Laurent Itti
Part Number;Part Title Chapter Sarah Hawkins No�l Nguyen
Features and Aspects: Exploring feature-oriented and aspect-oriented programming interactions;Fatima Beltagui
Study of parameter estimation methods for Pearson-III distribution in flood frequency analysis;Chen Yuanfang  Hou Yu
Navier-Stokes equations as a differential-algebraic system;J�rg Weickert Jorg Weickert
Green&aposs Functions Used as Preconditioner;W. D. Drenth R. M. M. Mattheij J. M. L. Maubach
A Stochastic Programming Approach to Scheduling in TAC SCM;Michael Benisch Amy Greenwald  Victor Naroditskiy Michael Tschantz
Power and Performance Evaluation of Globally Asynchronous Locally Synchronous Processors;Anoop Iyer  Diana Marculescu
Analysis of Two Competing TCP/IP Connections;E. Altman  T. Jimenez  R. Nunez-Queija
Dynamic Wideband Measurement of Mobile Radio Channel with Adaptive Antennas;Kimmo Kalliola  Pertti Vainikainen
J. Math. Kyoto Univ. (JMKYAZ) Equivalence of Graded Module Braids and Interlocking Sequences By;Zin Arai
Coherence Detection in a Spiking Neuron via Hebbian Learning;Laurent Perrinet Manuel Samuelides
A Robot that Reinforcement-Learns to Identify and Memorize Important Previous Observations;Bram Bakker Viktor Zhumatiy Gabriel Gruener J�rgen Schmidhuber
Exploiting Locality in the Run-Time Parallelization of Irregular Loops;Maria J. Martin   David E. Singh Juan Tourino Francisco F. Rivera
High Performance RDMA-Based MPI Implementation over InfiniBand;Jiuxing Liu Jiesheng Wu Dhabaleswar K. Panda
Dynamic Partitioning of Large Discrete Event . . . ;Kaustubh R. Joshi Natasha Neogi William H. Sanders
Secure and Flexible Global File Sharing;Stefan Miltchev Vassilis Prevelakis Sotiris Ioannidis John Ioannidis Angelos D. Keromytis Jonathan M. Smith
On Almost Everywhere Strong Convergence of Multidimensional Continued Fraction Algorithms;D. M. Hardcastle K. Khanin
Computing Persistent Homology;Afra Zomorodian  Gunnar Carlsson
EAGLE does Space Efficient LTL Monitoring;Howard Barringer Allen Goldberg Klaus Havelund Koushik Sen
Integration Tools for Supporting Incremental Modifications;Within Design Processes Birgit Bayer Simon Becker Manfred Nagl
Providing an E-Learning Platform in a University Context - Balancing the Organisational Frame for Application Service Providing;Wolf-Gideon Bleek  Iver Jackewitz
JScm: Compilator Scheme pentru masina virtuala Java;Constantin Stanciu Zoran Constantinescu Universitatea ?politehnica Bucuresti Facultatea Automatica Si Calculatoare
Empirical Tests For Evaluation Of Multirate Filter Bank Parameters;Carl Taswell
Experience with the KeyNote Trust Management System: Applications and Future Directions;Matt Blaze John Ioannidis Angelos D. Keromytis
Modeling Pronunciation Variation in Conversational Speech Using Prosody;Rebecca Bates  Mari Ostendorf
Three views of LP-type optimization problems;Jiri Matousek  Petr Skovron
Guidelines of Business Process Modeling;J�rg Becker Michael Rosemann  Christoph von Uthmann
Jeffrey Jacobson and Zimmy Hwang UNREAL TOURNAMENT FOR IMMERSIVE INTERACTIVE THEATER;Aveut Is Set
Adaptive Predictive Feedback Techniques for Vibration Control  ; Kenneth W. Eure
Quality Assurance for Graphics in R;Friedrich Leisch Achim Zeileis (eds Paul Murrell Kurt Hornik Kurt Hornik
Accurate Estimation of Cache-Related Preemption Delay;Hemendra Singh   Negi   Tulika Mitra   Abhik Roychoudhury
LTAG Semantics with Semantic Unification;Laura Kallmeyer Maribel Romero
Vicious Strategies for Vickrey Auctions;Felix Brandt Technische Felix Brandt Technische Universit�t M�nchen
A COMPUTATIONAL INTRODUCTION TO NUMBER THEORY AND ALGEBRA;Victor Shoup
Reduction;Diederik Aerts Fritz Rohrlich
Multiple Codebook Information Hiding;H. T. Sencar M. Ramkumar A. N. Akansu
Improving Query Routing Efficiency in Peer-to-Peer Networks;Nick Antonopoulos  James Salter Nick Antonopoulos James Salter
Self-Aligned Gate Jfets For Smart Mems-Modeling, Design And Fabrication;S. Amon  D. Vrtacnik  D. Resnik  D. Krizaj U. Aljancic A. Levstek
Model Checking for Probabilistic Timed Systems;Jeremy Sproston
Numi: A Framework for Collaborative Data Management In a Network of InfoStations;Sethuram Balaji Kodeswaran Olga Ratsimor Anupam Joshi Tim Finin Yelena Yesha
Fast Forward Automatic Differentiation Library (ffadlib) - A User Manual;I. Tsukanov  M. Hall I. Tsukanov _ M. Hall
Distributed Multimedia Streaming in a Heterogeneous Environment;Radu Cornea Shivajit Radu Cornea Shivajit Mohapatra Nikil Dutt Alex Nicolau Nalini Venkatasubramanian
Stacked Quantum Dot Transistor and Chargeinduced;Confinement Enhancement Guo L. J. Guo S. Y. Chou
Design Concepts for Digital Photogrammetric Cameras;Alexander Hinz Oberkochen
Managing and Searching Personal;Photo Collections Ullas Ullas Gargi Yining Deng Daniel R. Tretter
TCP over GPRS: The Effect of Preemption;Annika Wennstr�m  Anna Brunstrom
Debugging Optimized Code: Value Change Problem;In Partial Ful To The
Calibrating a Structured Light System;Dr Alan Alan M. McIvor Robert J. Valkenburg
Computer Generated Clay Animation;Daisuke Goto University Junichi Hoshino
Hunter Gatherer: Interaction Support for the Creation and Management of Within-Web-Page Collections;m.c. schraefel  Yuxiang Zhu David Modjeska Daniel Wigdor Shengdong Zhao
Linear Gaussian models for speech recognition;Antti-Veikko Ilmari Rosti
Formal Specification Techniques in Object-Oriented Analysis: A Comparative View;Monique Snoeck Jozef Wijsen Guido Dedene
A Multi-Layered System of Metrics for the Measurement of Reuse by Inheritance;Radu Marinescu
Random Number Generators with Period Divisible by a Mersenne Prime;Richard P. Brent Paul Zimmermann
Dynamic Parameter Encoding For Genetic Algorithms;Nicol N. Schraudolph Richard K. Belew
Machine Translation using;Lfg-Dop Andy Way
Reinforcement Learning of Fuzzy Logic Controllers for Quadruped Walking Robots;Dongbing Gu Huosheng Hu
Proactive Energy-Aware Video Streaming to Mobile Handheld Devices;Shivajit Mohapatra Nalini Venkatasubramanian
Balancing Performance and Responsiveness Using an Augmented Instant Messaging Client;Daniel Avrahami Scott E. Hudson
Why Wait? A Century of Life Before IPO;Boyan Jovanovic And Jovanovic Peter L. Rousseau
Reinterpretation of Causal Order Graphs towards Effective Explanation Generation Using Compositional Modeling;T. K. Satish Kumar
Folding: An Approach to Enable Program Understanding of Preprocessed Languages;Bernt Kullbach Volker Riediger
Processing Standards Publication 180-2;Change Notice To
Explicit Manifold Representations for Value-Function;Approximation In Reinforcement William D. Smart
Image Digitization Using PHODIS SC/SCAI;Ulrich Vogelsang
Symbolic Analysis of Programmable Digital Filters;Miroslav D. Lutovac Dejan V. Tosic Brian L. Evans
ESRT: Event-to-Sink Reliable Transport in Wireless Sensor Networks;Yogesh Sankarasubramaniam Zgr Yogesh Sankarasubramaniam �zg�r B. Akan Ian F. Akyildiz
No-common-cause EPR-like funny business in branching space-times;Nuel Belnap  
Multiphase Mesh Partitioning;C. Walshaw M. Cross K. McManus
Map Multiuser Detection With Soft Interference Cancellation;For Umts Td-Cdma R. Cusani M. Di Felice
UML as an Onthology Modelling Language;Stephen Cranefield Martin Purvis
Chapter for &quotThe Cognitive Neuroscience, 3;Rd Ed By Manuela Piazza Stanislas Dehaene
Choosing Replica Placement Heuristics for Wide-Area Systems;Magnus Karlsson  Christos Karamanolis
Comparisons of Packet Scheduling Algorithms for Fair Service among Connections on the Internet;Go Hasegawa Takahiro Matsuo Masayuki Murata  Hideo Miyahara
ECC: Do We Need to Count?;Jean-Sebastien Coron  Helena Handschuh  David Naccache
On the Mean Revenue of Combinatorial Exchanges Under Variation of Clearing Policies;Andreas Tanner
Associated Types with Class;Manuel M. T. Chakravarty  Gabriele Keller  Simon Peyton Jones  Simon Marlow
Efficient Generic Functional Programming;Artem Alimarine  Sjaak Smetsers
Altitudes of a Tetrahedron and Traceless Quadratic Forms;Hans Havlicek  Gunter Wei�
Exploiting Parallelism In Unification-Based Parsing  ;M. P. van Lohuizen
Phosphorus Availability From Sewage Sludge and;Animal Manures To Kato Wataru Tunney Hubert Carton Owen T
Feature Detection in fMRI Data: The Information Bottleneck Approach;Bertrand Thirion   Olivier Faugeras
IEEE January 2003 41;Cover Feature Published David M Ibm Thomas J
The Wyner-Ziv Problem with Multiple Sources;Michael Gastpar
Response-Time Guarantees in ATM Networks;Andreas Ermedahl   Hans Hansson Mikael Sj�din
Using Dirichlet Free Form Deformation to Fit Deformable Models to Noisy 3-D Data;Slobodan Ilic  Pascal Fua
A Dynamically Updatable Active Networking Architecture;Amila Fernando
Decision Procedures and Model Building in Equational Clause Logic;Christian G. Ferm�ller Alexander Leitsch
Anonymization Techniques for URLs and Filenames;Geoff Kuenning Ethan L. Miller
Analysis and Simulation of User Interfaces;Harold Thimbleby
A Knowledge Model to Support Inconsistency Management when Reasoning with Shared Knowledge;Valentina A. M. Tamma Trevor J. M. Bench-Capon
Modeling Consensus: Classifier Combination for Word Sense Disambiguation;Radu Florian  David Yarowsky
Algorithms for Rewriting Aggregate Queries Using Views;Alexander Serebrenik Sara Cohen Werner Nutt
Information From On-Line Live Weight Assessment For;Optimal Selection Of Anders Ringgaard Kristensen
Modeling Techniques and Tests for Partial Faults in Memory Devices;Zaid Al-Ars   Ad J. van de Goor
Reliability;Steven Abney
Spectral Subband Centroids as Complementary Features for Speaker Authentication;Norman Poh Hoon Thian Conrad Sanderson Samy Bengio
Analysis of Dynamic Behaviors of Many TCP Connections;Sharing Tail--Drop Red Go Hasegawa Masayuki Murata
An Efficient Spatial Publish/Subscribe System for;Intelligent Location-Based Services Xiaoyan Chen
Abstraction-Based Petri Net Reachability Checking;Peep K�ngas
On the Compositionality and Transactional Execution of Electronic Services;Carl-Alexander Wichert Alfred Fent Burkhard Freitag
A revelation principle for competing mechanisms;Larry G. Epstein Michael Peters
Topological Solitons in Discrete Space-Time as the Model of Fermions;A I Musienko
Informing Science InSITE - &quotWhere Parallels Intersect&quot June 2003 Paper Accepted as a Regular Paper;Teaching Objectives Of Cynthia E. Irvine Michael Thompson
A Bayesian Approach to Nonlinear Diffraction Tomography;Herv� Carfantan  Ali Mohammad-Djafari En Cours
Statistical Modeling for Motion-Based Video Classification and Retrieval;R. Fablet  P. Bouthemy
Proof Complexity In Algebraic Systems And Bounded Depth Frege Systems With Modular Counting  ;S. Buss R. Impagliazzo J. Kraj�cek P. Pudl�k A. A. Razborov J. Sgall
Action Theories in Temporal Databases;Nikos Papadakis Dimitris Plexousakis
Analytical Modelling of Spurious Transitions in Adder Circuits;S�lim J. Abou-Samra Alain Guyot
Neuromagnetic Measurement of Sound Location Processing in the Human Brain;H. Tiitinen K. Palom�ki  V. M�kinen P. May P. Alku
Traveling Salesman Problems With Profits: An Overview;Dominique Feillet Pierre Dejax Michel Gendreau
Theme: An Approach for Aspect-Oriented Analysis and Design;Elisa Baniassad And
Practical QoS Network System with Fault Tolerance;Das Gerla Lee S. Das M. Gerla S. S. Lee G. Pau K. Yamada H. Yu
BaffleText: a Human Interactive Proof;Monica Chew Henry S. Baird
Culling a Set of Points for Roundness or Cylindricity Evaluations;Olivier Devillers Franco P. Preparata 
Stable but Non-Dissipative Water;Oh-Young Song   Hyuncheol Shin Hyeong-seok Ko
Three-Dimensional Structure Calculation: Achieving Accuracy without Calibration;B. Boufama  A. Habed
Learning Low Dimensional Predictive Representations;Matthew Rosencrantz Mrosen Matthew Rosencrantz Geoff Gordon
A Qualitative Approach to Classifying Head and Eye Pose;P.A. Beardsley
Pruning Neural Networks with Distribution Estimation Algorithms;Erick Cantu-Paz
Algebraic and Coalgebraic Structures (Lecture Notes for �lgebra de Processos);Lu�s Soares Barbosa
Delay Cognizant Video Coding: Architecture, Applications and Quality Evaluation;Yuan-Chi Chang   David G. Messerschmitt   Thom Carney   Stanley A. Klein  
Cache Misses Prediction for High Performance;Sparse Algorithms Basilio Basilio B. Fraguela Emilio L. Zapata
A Proposed Taxonomy of Software Weapons;Supervisor Mikael Wedlin X Examensarbete Martin Karresand Martin Karresand Martin Karresand
Non-Realistic Haptic Feedback for Virtual Sculpture;Renaud Blanch Renaud Blanch Eric Ferley Eric Ferley Marie-paule Cani Marie-paule Cani Jean-dominique Gascuel Jean-dominique Gascuel Projet Evasion
Modelling Mechanisms of Animal Behaviour;Tony Ludlow Tony
An Auditory Model Based Transcriber of Singing Sequences;L. P. Clarisse J. P. Martens M. Lesaffre  B. De Baets  H. De Meyer H. Demeyer M. Leman
Multi-Relational Decision Tree Algorithm - Implementation and Experiments;Anna Atramentov Drena Leigh Dobbs Yan-bin Jia
A New Fast Tableau-Based Decision Procedure for an Unquantified Fragment of Set Theory;Domenico Cantone Calogero G. Zarba
Improved Joint Control using a Genetic Algorithm for a Humanoid Robot;Jonathan Roberts Damien Jonathan Roberts Damien Kee Gordon Wyeth
Algebraic Attacks on Stream Ciphers with Linear Feedback;Nicolas T. Courtois  Willi Meier
Superconducting Circuits for Quantum Computing;Timothy Spiller
A Linear Threshold Gate Implementation in Single Electron Technology;Casper Lageweg   Sorin Cotofana Stamatis Vassiliadis
An Architecture for the Notification, Storage and Retrieval of Events;Mark David Spiteri
Security Analysis of the Broker Architecture;M. G�nter Ch. Matt I. Khalil H. Kneer T. Braun
Light Weight Review Process the author is responsible;Authorized Concept Final Gerrit Muller
Moving Verbs In Agrammatic Production;Na&aposama Friedmann In R. Bastiaanse Y. Grodzinsky (eds
Seismic Response of Structures with Flexible Floor Slabs by a Dynamic Condensation Approach;Mario A. Rivera
The ZEUS Consortium;Massively Parallel Computing Alexander Reinefeld (ed Zentren Europ�ischen Supercomputings
Lifts, Discrepancy and Nearly Optimal Spectral Gaps;Yonatan Bilu Nati Linial
Online Amnesic Approximation of Streaming Time Series;Themistoklis Palpanas  Themis Vlachos  Eamonn Keogh  Dimitrios Gunopulos  Wagner Truppel
Rich Syntax from a Raw Corpus: Unsupervised Does It;Shimon Edelman Zach Solan David Horn Eytan Ruppin
Ontology Evolution within Ontology Editors;Stojanovic Motik Fzi L. Stojanovic B. Motik
The Structure of Obstructions to Treewidth and Pathwidth;Janka Chlebikova
The Dark Side of the Web: An Open Proxy&aposs View;Vivek Pai Limin Vivek S. Pai Limin Wang Kyoungsoo Park Ruoming Pang Larry Peterson
Popular Music Access: The Sony Music Browser;Franois Pachet Amaury Fran�ois Pachet Amaury Laburthe Aymeric Zils
Autonomic Computing Correlation for Fault Management System Evolution;Roy Sterritt Dave Bustard Andrew Mccrea
Branch-and-Cut Algorithms for the Undirected m-Peripatetic Salesman Problem;E. Duchenne Gilbert Laporte Fr�d�ric Semet
Transcription Factor Binding Site Detection by One-Dimensional Signal;Analysis With Complex Krzysztof M. Rajkowski
Are Multiple Runs of Genetic Algorithms Better than One?;Erick Cantu-Paz  David E. Goldberg
Refinement Planning: Status and Prospectus;Subbarao Kambhampati
Boron Site Preference in;Doped Barium Hexaferrite Sirikanjana Thongmee A Pongtip Winotai I Ming Tang
Initial Report of 3;Rd Year Dissertation
Estimating the Proportion of True Null Hypotheses, . . .;Egil Ferkingstad Mette Langaas Bo Lindqvist
Modeling Holes and Inclusions by Level Sets in the Extended Finite Element Method;N. Sukumar  D. L. Chopp  N. Moes  T. Belytschko
On Multiple Linear Approximations;Alex Biryukov  Christophe De Canni�re  Michael Quisquater
Distributed control system for TRIDAQ boards;Wojciech M. Zabolotny  Krzysztof Pozniak  Ryszard Romaniuk  Marcin Bartoszek  Michal Pietrusinski  Ignacy Kudla  Krzysztof Kierzkowski  Grzegorz Wrochna  Jan Krolikowski
Breathe Easy: Model and control of simulated respiration for animation;Victor B. Zordan  Bhrigu Celly Bill Chiu Paul C. DiLorenzo
Opportunities and requirements for open-source/zero-cost statistical . . . ;Christian Ritter
Digital City Kyoto;Toru Ishida
Wavelet Deconvolution in a Periodic Setting;Iain Johnstone Gerard G�rard Kerkyacharian Dominique Picard Marc Raimondo
Deformation Techniques for Counting the Real Solutions if Specific Polynomial Equation Systems;E. Dratman G. Matera
A Comparison of Complete Global Optimization Solvers ;Arnold Neumaier Oleg, Shcherbina,     Waltraud Huyer Tam�s Vink�
An Economic Model for the Radio Resource Management in Multimedia Wireless Systems;Leonardo Badia  Magnus Lindstr�m  Jens Zander Jens Z  Michele Zorzi
RevMexAA (Serie de Conferencias), 12, 219--224 (2002);When Photoionization Is Sueli M. Viegas
Evaluation of a Hypermedia Maintenance Support Application;Richard Crowder   Gary Wills Wendy Hall
Copyright 2002, Intel Corporation, All rights reserved.;Infospect Using Logic Richard Mortier Steven H Timothy Roscoe Timothy Roscoe Paul Jardetzky Paul Jardetzky
The Mathematical Intelligencer, Volume 26, Number 1, Winter 2004, pp. 4--7 OPINION;Thoughts On The G. J. Chaitin
Abstract A Survey of New Zealand System Development Values Proc. 10 th Australasian Conference on Information Systems, 1999;Australasian Conference On David Hood
CRUT: The Cluster Rendering Utility Toolkit for Chromium;Dale Beermann
MODELLING COUPLED HEAT AND AIR FLOW: PING-PONG VS ONIONS;
Analysing the Java package/access concepts in Isabelle/HOL;Norbert Schirmer
A case study in supporting DIstributed, Loosely-controlled and evolvInG Engineering of oNTologies (DILIGENT);Christoph Tempich  Sofia Pinto  Steffen Staab  York Sure
An Image Overlay System for Medical Data;Visualization Mike Blackwell Mike Blackwell Constantinos Nikou Anthony M. Digioia Takeo Kanade
Adapting Communication Vocabularies Using Shared Ontologies;Heiner Stuckenschmidt Ingo J. Timm
Wireless Link Adaptation Policies: QoS for Deadline;Constrained Traffic With Tim Holliday Andrea Goldsmith Peter Glynn
Nathaniel D. Terril;Virginia Polytechnic Institute Nathaniel D. Terril Nathaniel Dale Terril
An Axiomatic Approach to Noncompensatory Sorting Methods In MCDM, I: The case of two categories;Denis Bouyssou Thierry Marchant
H.264/AVC in Wireless Environments;Thomas Stockhammer Miska M. Hannuksela  Thomas Wiegand
Semiotic Morphisms, Representations and Blending for Interface Design;Joseph Goguen
Dyson. 2002.;Revmexaa Serie De A. J. Lim
Implementing Configuration Dependent Gaits in a Self-Reconfigurable Robot;K. St�y W. -m. Shen P. Will
WSAT(CC) - a fast local-search ASP solver;Lengning Liu  Miroslaw Truszczynski
Meteosat Second Generation: Seviri Radiometric Performance Results from the MSG-1 Commissioning Phase;C. G. Hanson J. Mueller P. Pili Donny M. A. Aminou B. Jacquet S. Bianchi P. Coste F. Faure
Calculators In The Classroom: A Look Into The Future;Bert K. Waits  Franklin Demana
Interactive Rendering of Translucent Objects;Hendrik P.A. Lensch  Michael Goesele  Philippe Bekaert  Jan Kautz Hendrik P. A Lensch Michael Bekaert Jan Kautz Marcus A. Magnor Jochen Lang Hans-peter Seidel
Initial Observations of the Simultaneous . . . ;Nathan Tuck, et al.
Memory System Characterization of Web Servers Serving Dynamic Content from Symmetric Multiprocessors;Dejan Kostic Patrick Reynolds
Network Working Group J. Galvin Request for Comments: 1446 Trusted Information Systems K. McCloghrie Hughes LAN Systems April 1993 Security Protocols;For Version Of K. Mccloghrie Hughes Lan Systems
Heuristic Evaluation of Ambient Displays;Jennifer Mankoff Jennifer Mankoff  Anind K. Dey Anind Dey Gary Hsieh Gary Hsieh  Julie Kientz Julie Kientz Scott Lederer Scott Lederer Morgan Ames Morgan Ames
Recycling Krylov Subspaces for Sequences of Linear Systems;Michael L. Parks  Eric De Sturler  Greg Mackey Duane D. Johnson  Spandan Maiti
Virtual (3D) Collaborative Environments: An Improved Environment for Integrated Product Team Interaction?;Grace M. Bochenek James M. Ragusa
Channel Impulse Response and Its Relationship to Bit Error Rate at 28 GHz;Mary Miniuk Mary Miniuk
Protein Folding studies using a Grid Computing Platform;Flavia Agostini Carla Carla Osthoff Cleverson Veronez Re Vassallo Pedro G. Pascutti Alan W. S. Silva Diogo Oliveira S. Pinto
Disjunctive Explanations in Abductive Logic Programming;Katsumi Inoue Chiaki Sakama
A SCSI Disk Model for Multimedia Storage Systems;Meng Chang Chen Jan-ming Ho Ming-tat Ko Shie-yuan Wang
On the Universal and Existential Fragments of the �-Calculus;Thomas A. Henzinger Orna Kupferman Rupak Majumdar
Preserving Message Integrity in Dynamic Process Migration;Heymann Tinetti Luque E. Heymann F. Tinetti E. Luque
Reasoning about Quantum Systems;P. Mateus  A. Sernadas
Information Technology Fashions: Lifecycle Phase Analysis;Jintae Lee Jintae
A Discrete Probabilistic Memory Model for Discovering Dependencies in Time;Sepp Hochreiter Michael C. Mozer
Clearance based path optimization for motion planning;Roland Geraerts Mark Overmars
Interlaminar Deformation at a Hole in Laminated Composites: A Detailed Experimental Investigation Using Moir_ Interferometry;Daniel Post Co-chairman Kenneth L. Reifsnider Werner E. Kohler Ronald D. Kriz James R. Mccoy David H. Mollenhauer David H. Mollenhauer
Securing the Border Gateway Routing Protocol;Bradley R. Smith  J. J. Garcia-Luna-Aceves
Reducing Multiclass to Binary: A Unifying Approach for Margin Classifiers;Erin L. Allwein Robert E. Schapire Yoram Singer
A formal framework for business process modeling and design;Manolis Koubarakis Dimitris Plexousakis
High Quality Machine Translation Using a Machine-Learned Sentence Realization Component ;Martine Smets Michael Gamon Jessie Pinkham Tom Reutter Martine Pettenaro
Chinese Language IR Based on Term Extraction;Ji Donghong Yang Lingpeng Nie Yu
PDF:;
Location-Based Services for Mobile Telephony: a Study of Users&apos Privacy Concerns;Louise Barkuus Anind Dey
The Role of the Corpus Callosum in the Coupling of Bimanual Isometric Force Pulses;J�rn Diedrichsen Richard B. Ivry Eliot Hazeltine Eliot Hazeltine Wesley K. Nurss Wesley K. Nurss
An Approach to Organizing Pedagogical Texts Based on a;Projection From Hybrid Maryam Tayefeh Mahmoudi Kambiz Badie
Improving Node Behavior in a QoS Control Environment for Local Broadcast Networks;Bernd E. Wolfinger J�rgen Wolf Gwendal Le Grand
Automatic Corpus-Based Extraction of Chinese Legal Terms;Oi Yee Kwong Benjamin K. Tsou
Head Orientation and Gaze Direction in Meetings;Rainer Stiefelhagen University Rainer Stiefelhagen
Toward A Framework for Assembling Broken Pottery Vessels;Stuart Andrews David H. Laidlaw
Equivalence of Local Treewidth and Linear Local Treewidth and its Algorithmic Applications;Erik D. Demaine Mohammadtaghi Hajiaghayi
Analysis of TCP Latency over Wireless Links Supporting FEC/ARQ-SR for Error Recovery;Raja Abdelmoumen  Chadi Barakat
A Simple Neighbour Discovery Procedure for Bluetooth Ad Hoc Networks;Miklos Aurel Ronai  Eszter Kail
High precision computation of elementary functions in Maple;D. J. Jeffrey
Characterization of a Twelve Channel Optical Fiber, Ribbon Cable and;Mtp Array Connector Melanie Ott Ab Shawn Macmurphy Ab Patricia Friedberg B
Automatic Reconstruction of Stationary 3-D Objects   from Multiple Uncalibrated Camera Views;Peter Eisert Eckehard Steinbach Bernd Girod
Comparisons of Packet Scheduling Algorithms;For Fair Service Go Hasegawa Takahiro Matsuo Masayuki Murata Hideo Miyahara
A Proposal of an Admission Control Method for the Assured Service in the Internet;Lluis Fabrega i Soler Tutor Teodor Jov� Lagunas
Using XFig;Peter Hiscocks Department Peter Hiscocks
Answer Sets: From Constraint Programming Towards Qualitative Optimization;Gerhard Brewka
Using Markov Chains for Identification of Writers;Dmitri V. Khmelev Fiona J. Tweedie
Implications of Interdomain Traffic Characteristics on Traffic Engineering;Steve Uhlig Olivier Bonaventure
lol: Life on Line BY JEFF MCLAUGHLIN A Cheap Device for a Weak Premise;Sure That Im Jeff Mclaughlin Has A Ph. D In Philoso
Cycle Stealing under Immediate Dispatch Task Assignment  ;Mor Harchol-Balter Cuihong Li Takayuki Osogami Alan Scheller-Wolf Mark S. Squillante
Confidentiality Key fingerprint = AF19 of FA27 Information 2F94 998D FDB5 on DE3D Dedicated F8B5 06E4 A169 Leased 4E46 Lines;William M. Karwisch
On Recursively Directed Hypercubes;Carmel Domshlak
Query Manager functional specifications;D. Beneventano S. Bergamaschi  Federica Mandreoli M. Marchica
RevMexAA (Serie de Conferencias), 12, 95-99 (2002);High Dispersion Spectra Lawrence H. Aller Siek Hyung
A Revival of the Girth Conjecture;Tomas Kaiser   Daniel Kral Riste Skrekovski
Constant-Round Oblivious Transfer in the Bounded Storage Model;Yan Zong Ding  Danny Harnik Alon Rosen  Ronen Shaltiel Grant Ccr
On-Line Time-Domain Blind Source Separation of Nonstationary Convolved Signals;Robert Aichner Herbert Buchner Shoko Araki Shoji Makino
Panel On: The Creation and Distortion of . . . ;Mary Elizabeth Bezanson
The Moving Grid Finite Element Method Applied to Biological Problems;Anotida Madzvamuse  Roger D.K. Thomas Toshio Sekimura  Andrew J. Wathen Andrew J  Philip K. Maini
Representing von Neumann-Morgenstern Games in the Situation Calculus;Oliver Schulte  James Delgrande
Lecture on the Various Types of Symmetric Functions;E. J. Ditters
On Determination of Optimal Reserve Price in Auctions with Common Knowledge about Ranking of Valuations;A. Alex A. Alexander Elbittar M. Utku �nver Murat R. Sertel D. Kaplan T. Kaplan P. Reny J. F. Richard T. Sharma
Response Time as a Performability Metric for Online Services;Peter Peter Peter Broadwell Peter M. Broadwell Peter M. Broadwell
Reliability of Optical Fiber Modulators for Space Flight Environments;Melanie Ott  Juan Vela  Carl Magee Harry Shaw
Cryptography in Data Compression;Chung-e Wang
Instruction-Isomorphism in Program Execution;Yiannakis Sazeides
OPNET Implementation of Endpoint Admission Control Algorithms;Kun Wu  Yan Ma  Ljiljana Trajkovic
Nat.Lab. Unclassified Report UR 2000/825;Date Of Issue I. E. M. Severens Ur Unrestricted
Generalized Constraint Solving over Differential Algebras;Andreas Dolzmann Thomas Sturm
Boosting Image Orientation Detection with Indoor vs. Outdoor Classification;Lei Zhang Mingjing
Network Membership: A Partition Model for Reliable Mobile Communication;Romain Boichat  Laurence Duchien
Improving MACS thanks to Comparison with 2TBNs;Olivier Sigaud Thierry Gourdin  Pierre-Henri Wuillemin
Random Walks and Graph Homomorphisms;Amir Daneshgar Hossein Hajiabolhassan
An Efficient Feedback Method for MIMO Systems with Slowly Time-Varying Channels;June Chul Roh  Bhaskar D. Rao
Adapting Components and Predicting Architectural Properties With . . . ;Ralf H. Reussner
Service Advertisement and Discovery in Mobile Ad hoc Networks;Liang Cheng
The Use Of Project Management Methodology And Tools To;Improve Model Assessment Germano De Souza Kienbaum
Adaptive Navigation Support in 3D E-Commerce Activities;Stephen Hughes Peter Brusilovsky Michael Lewis
Amorphous Shape Mapping;Christopher Frost
