TITLE,AUTHORS,YEAR,DESCRIPTION,ID,SUBJECT,PUBLISHER
Language Corpora: Present Indian Need,Niladri Sekhar Dash,2004,Corpora have proved their value both in linguistics and language technology. Information obtained from corpora has challenged the intuitive language study since intuitive observations are found inadequate while compared with findings from corpora. However the value of corpora is not yet acknowledged in India although in recent times some sporadic attempts are made for designing corpora in Indian languages. We argue here for initiating large-scale projects to develop corpora of various types in Indian languages not only to contribute in research of language technology but also to provide reliable language resources for the benefit of people of the country. We plea for the generation of specific types of corpus required for designing tools and systems for language technology linguistics research and education.,10.1.1.1.2390,?,?
Proceedings of the 2003 Winter Simulation Conference,Chick Snchez Ferrin S. Chick P. J. Sánchez D. Ferrin D. J. Morrice,?,This paper presents a brief introduction to the use of duality theory and simulation in financial engineering. It focuses on American option pricing and portfolio optimization problems when the underlying state space is high-dimensional. In general it is not possible to solve these problems exactly due to the so-called curse of dimensionality and as a result approximate solution techniques are required. Approximate dynamic programming (ADP) and dual based methods have recently been proposed for constructing and evaluating good approximate solutions to these problems. In this paper we describe these ADP and dual-based methods and the role simulation plays in each of them. Some directions for future research are also outlined.,10.1.1.1.2391,?,?
Proceedings of the 2003 Winter Simulation Conference,Chick Snchez Ferrin S. Chick P. J. Sánchez D. Ferrin D. J. Morrice,?,This paper introduces a new technique for estimating cycle time quantiles from discrete event simulation models run at a single traffic intensity. The Cornish-Fisher expansion is used as a vehicle for this approximation and it is shown that for an M/M/1 system and a full factory simulation model the technique provides accurate results with low variability for the most commonly estimated quantiles without requiring unreasonable sample sizes. Additionally the technique provides the advantages of being easy to implement and providing multiple cycle time quantiles from a single set of simulation runs.,10.1.1.1.2392,?,?
PatternHunter II: Highly Sensitive and Fast Homology Search,Ming Li Bin Ma Derek Kisman  John Tromp,2003,Extending the single optimized spaced seed of PatternHunter [20] to multiple ones PatternHunter  II simultaneously remedies the lack of sensitivity of Blastn and the lack of speed of SmithWaterman  for homology search. At Blastn speed PatternHunter II approaches Smith-Waterman  sensitivity bringing homology search technology back to a full circle.,10.1.1.1.2393,homology search sensitivity speed,?
Information Extraction for Semi-Structured Documents,Dan Smith And Dan Smith Mauricio Lopez,1997,this paper constitutes a suitable basis for building an effective solution to extracting information from semi-structured documents for two principal reasons. First it provides an extensible architecture basis for: extracting structured information from semistructured documents providing fast and accurate selective access to this information performing selective dissemination of relevant documents depending on filtering criteria. Second it is simple in terms of: the complexity of the algorithms used for structure recognition and document filtering the number and size of data structures required to perform the three functions mentioned above the amount and complexity of the metadata required to handle a given collection of documents. The work described here is part of the Dyade    Mdiation project which aims to provide integrated software components for accessing heterogeneous data sources in Internet/Intranet environments,10.1.1.1.2394,?,?
Articles Students Attitudes Toward Technology in Selected Technology Education Programs,Richard A. Boser James D. Palmer  Michael K. Daugherty,1998,this paper. The results of the PATT-USA study indicated that: (a) students are interested in technology (b) boys are more interested in technology than girls (c) students in the U. S. think that technology is a field for both girls and boys (d) girls are more convinced that technology is a field for both genders (e) there is a positive influence of a parents technological profession on the students attitude (f) U. S. students concept of technology became more accurate with increasing age (g) U. S. students are strongly aware of the importance of technology (h) the U. S. has a rather low score on items measuring the concepts of technology compared to other industrialized countries (i) students who had taken industrial arts/technology education classes had more positive attitudes on all sub-scales and (j) the existence of technical toys in the home had a significantly positive impact on all attitude scales. Although research on student attitudes in technology education has been used to assess student attitudes prior to curriculum development a standardized attitude measure such as the PATT-USA has not been used to assess changes in attitude as the result of a treatment such as participation in a technology education program. It is logical that students who have a positive experience in a technology education program will develop a positive attitude toward technology and the pursuit of technological careers and would therefore be more interested in studying about technology. As a result students should become more technologically literate. This premise is grounded in research from the affective domain that indicates that students who exhibit a positive attitude -7toward a subject are more likely to actively engage in learning during and after instruction (Po...,10.1.1.1.2395,?,?
Transient Fault Detection via Simultaneous Multithreading,Steven K. Reinhardt Shubhendu S. Mukherjee,2000,Smaller feature sizes reduced voltage levels higher transistor counts and reduced noise margins make future generations of microprocessors increasingly prone to transient hardware faults. Most commercial fault-tolerant computers use fully replicated hardware components to detect microprocessor faults. The components are lockstepped (cycle-by-cycle synchronized) to ensure that in each cycle they perform the same operation on the same inputs producing the same outputs in the absence of faults. Unfortunately for a given hardware budget full replication reduces performance by statically partitioning resources among redundant operations. We demonstrate,10.1.1.1.2396,?,ACM Press
Tailoring Evaluative Arguments to Users Preferences,Giuseppe Carenini And Johanna Moore,1999,Computer systems that serve as personal assistants advisors or sales assistants  frequently need to argue evaluations of domain entities. Argumentation theory shows that  to argue an evaluation convincingly requires to base the evaluation on the hearers values  and preferences. In this paper we propose a framework for tailoring an evaluative argument  about an entity when users preferences are modeled by an additive multiattribute value  function. Since we adopt and extend previous work on explaining decision-theoretic advice  as well as previous work in computational linguistics on generating natural language  arguments our framework is both formally and linguistically sound.,10.1.1.1.2397,?,?
Implementing A Scalable XML Publish/Subscribe System Using Relational Database Systems,Feng Tian et al.,2004,An XML publish/subscribe system needs to match many XPath queries (subscriptions) over published XML documents. The performance and scalability of the matching algorithm is essential for the system when the number of XPath subscriptions is large. Earlier solutions to this problem usually built large finite state automata for all the XPath subscriptions in memory. The scalability of this approach is limited by the amount of available physical memory. In this paper we propose an implementation that uses a relational database as the matching engine. The heavy lifting part of evaluating a large number of subscriptions is done inside a relational database using indices and joins. We described several different implementation strategies and presented a performance evaluation. The system shows very good performance and scalability in our experiments handling millions of subscriptions with moderate amount of physical memory.,10.1.1.1.2398,?,?
PlaNet -- A Software Package for Algorithms and   Heuristics for Disjoint Paths in Planar Networks,Ulrik Brandes Wolfram Schlickenrieder  Gabriele Neyer  Dorothea Wagner  Karsten Weihe ,1999,We present a package for algorithms on planar networks. This package comes with a graphical user interface which may be used for demonstrating and animating algorithms. Our focus so far has been on disjoint path problems. However the package is intended to serve as a general framework wherein algorithms for various problems on planar networks may be integrated and visualized. For this aim the structure of the package is designed so that integration of new algorithms and even new algorithmic problems amounts to applying a short recipe. The package has been used to develop new variations of well-known disjoint path algorithms which heuristically optimize additional NP-hard objectives such as the total length of all paths. We will prove that the problem of finding edge-disjoint paths of minimum total length in a planar graph is NP -hard even if all terminals lie on the outer face the Eulerian condition is fulfilled and the maximum degree is four. Finally as a demonstration how PlaNet can be used as a tool for developing new heuristics for NP-hard problems we will report on results of experimental studies on e#cient heuristics for this problem. ,10.1.1.1.2400,Algorithms engineering Planar graphs Disjoint paths Length minimization,?
Automatic Application-Specific Instruction-Set Extensions Under Microarchitectural Constraints,Kubilay Atasu et al.,2003,Many commercial processors now offer the possibility of extending their instruction set for a specific application---that is to introduce customised functional units. There is a need to develop algorithms that decide automatically from highlevel application code which operations are to be carried out in the customised extensions. A few algorithms exist but are severely limited in the type of operation clusters they can choose and hence reduce significantly the effectiveness of specialisation. In this paper we introduce a more general algorithm which selects maximal-speedup convex subgraphs of the application dataflow graph under fundamental microarchitectural constraints and which improves significantly on the state of the art.,10.1.1.1.2401,ASIPs Instruction-set extensions,?
Middleware to support sensor network applications,Wendi B. Heinzelman Amy L. Murphy Hervaldo S. Carvalho Mark A. Perillo,2004,Current trends in computing include increases in both distribution and wireless connectivity leading to highly dynamic complex environments on top of which applications must be built. The task of designing and ensuring the correctness of applications in these environments is similarly becoming more complex. The unified goal of much of the research in distributed wireless systems is to provide higher-level abstractions of complex low-level concepts to application programmers easing the design and implementation of applications. A new and growing class of applications for wireless sensor networks require similar complexity encapsulation. However sensor networks have some unique characteristics including dynamic availability of data sources and application quality of service requirements that are not common to other types of applications. These unique features combined with the inherent distribution of sensors and limited energy and bandwidth resources dictate the need for network functionality and the individual sensors to be controlled to best serve the application requirements. In this article we describe different types of sensor network applications and discuss existing techniques for managing these types of networks. We also overview a variety of related middleware and argue that no existing approach provides all the management tools required by sensor network applications. To meet this need we have developed a new middleware called MiLAN. MiLAN allows applications to specify a policy for managing the network and sensors but the actual implementation of this policy is effected within MiLAN. We describe MiLAN and show its effectiveness through the design of a sensor-based personal health monitor.,10.1.1.1.2402,?,?
Colored Prufer codes for k-edge colored trees,Manwon Cho Dongsu Dongsu Kim Seunghyun Seo Heesung Shin,2004,A combinatorial bijection between k-edge colored trees and colored Prufer codes for labelled trees is established. This bijection gives a simple combinatorial proof for the number k(n     nk-n   of k-edge colored trees with n vertices. 1 ,10.1.1.1.2403,?,?
Mechanical Analogy for the Wave-Particle: Helix on a Vortex Filament,Valery P. Dmitriyev,2001,tes into  the collection of the elementary asymptotic helices. An  asymptotic helix obeys the linear Schroedinger equation with  no dependence on mass. The mass of the particle appears  explicitly when we describe the motion of the whole ensemble  of the elementary splinters.  Keywords: quantum physics ideal fluid line vortex soliton.  1. Introduction  elow the earlier suggested [1] mechanical analogy for quantum particle is further deve loped. A helical wave on a vortex filament in the ideal fluid is considered. It is shown to obey the linear Schroedinger equation. Other properties of a vortex filament also reproduce the specific features of a quantum object.  This work is a constituent of the whole project aimed at  constructing a regular mechanical analogy of physical fields and particles. The approach is based on the concept of a substratum for physics. The substratum is a universal medium serving to model the waves and action-at-a-distance in vacuum. This medium is viewed meso,10.1.1.1.2404,quantum physics ideal fluid line vortex soliton,?
SSCH: Slotted Seeded Channel Hopping for Capacity Improvement in IEEE 802.11 Ad-Hoc Wireless Networks,Paramvir Bahl  Ranveer Chandra,2004,Capacity improvement is one of the principal challenges in wireless networking. We present a link-layer protocol called Slotted Seeded Channel Hopping or SSCH that increases the capacity of an IEEE 802.11 network by utilizing frequency diversity. SSCH can be implemented in software over an IEEE 802.11-compliant wireless card. Each node using SSCH switches across channels in such a manner that nodes desiring to communicate overlap while disjoint communications mostly do not overlap and hence do not interfere with each other. To achieve this SSCH uses a novel scheme for distributed rendezvous and synchronization. Simulation results show that SSCH significantly increases network capacity in several multi-hop and single-hop wireless networking scenarios.,10.1.1.1.2405,pseudo-randomness scheduling,?
Lyapunov-Based Stability Analysis for REM,Congestion Control Orhan,?,This paper investigates convergence properties of basic REM flow control algorithm via Lyapunov functions. The decentralized algorithm REM consists of a link algorithm that updates a congestion measure also called price based on the excess capacity and backlog at that link and a source algorithm that adapts the source rate to congestion in its path. At the equilibrium of the algorithm links are fully utilized and all buffers are cleared. Convergence of the algorithm is established for single and two-link cases using a Lyapunov argument. Extension to the general multi-link model is discussed as well.,10.1.1.1.2406,?,?
A Proposal To Support Collaborative Learning: Using A Structure To Share Context ,Luis Borges Gouveia,?,?,10.1.1.1.2407,be shared is represented using a simple structure composed by concepts,?
A New Routing Architecture for DiffServ Domains,Shiping Chen  Yibei Ling Key Words,2003,This paper proposes a new DiffServ routing architecture (PAP) that integrates the admission control signaling and the QoS routing. It differs from traditional routing in its ability to route most Expedite Forwarding (EF) traffic along the shortest paths while making use of alternative paths to absorb transient overload. Once an EF data flow is admitted its performance is assured. The overhead for storing alterative path information is minimal since only one routing entry at a branching point is needed for each alternative path. The route map of Cisco IOS provides a mechanism for implementing PAP.,10.1.1.1.2408,?,Springer-Verlag
Natural Resource Management in the Hillsides of Honduras - Bioeconomic Modeling at the Microwatershed Level,Bruno Barbier  Gilles Bergeron Barbier Bruno Figures Vii,?,this report may be reproduced without the express  permission of but with acknowledgment to the International Food Policy Research Institute,10.1.1.1.2410,?,?
Redshift in Absolute Space: Periodicity of Quasars And Other . . . ,Héctor A. Múnera,1998,?,10.1.1.1.2411,?,?
Model-based Simulation of Web Applications for Usability Assessment,Robert Chatley  Jeff Kramer Jeff Magee Sebastian Uchitel,2003,In this paper we discuss an approach for simulating the behaviour of interactive software systems before starting on any of the actual implementation based on a model of the system at the architectural level. By providing a mock-up of the final user interface for controlling the simulation it is possible to carry out usability assessments of the system much earlier in the design process than is usually the case. This means that design changes informed by this usability assessment can be made at this early stage. This is much less expensive than having to wait until an implementation of the system is completed before discovering flaws and having to make major changes to already implemented components. The approach is supported by a suite of cooperating tools for specification formal modelling and animation of the system.,10.1.1.1.2412,?,?
Sparse Representations are Most Likely to be the Sparsest Possible,Michael Elad,2004,and a full rank matrix D    with N  L we define the signals  overcomplete representations as all #    satisfying S = D#. Among all the possible solutions  we have special interest in the sparsest one -- the one minimizing    0 . Previous work has  established that a representation is unique if it is sparse enough requiring    0  Spark(D)/2.,10.1.1.1.2413,Sparse representation Overcomplete transforms Spark Signature of matrices Uniqueness,?
Big Ball of Mud,Brian Foote And Brian Foote Joseph Yoder,1997,?,10.1.1.1.2414,?,?
Tobias Scheer 11,Manchester Phonology Meeting,?,empty Nucleus may exist only if it is governed (there is more to it but thats enough for now). c. instead of being translated into the familiar arborescence syllabic generalisations are described by two lateral relations: 1. Government (destructive) 2. Licensing (supporting) example: a consonant occurs in a Coda iff it is follwed by a governed empty Nucleus (R = any sonorant T = any obstruent) internal Coda (boldfaced) final Coda (boldfaced) Gov O N O N O N | | | | | | C V R T V Gov O N O N | | | | - 2 -   d. The Coda Mirror (Sgral  Scheer 2001)  there is a reason why consonants are weak in Codas (and strong in the Coda Mirror = {#C}__): goverend Nuclei are laterally disabled i.e. can neither govern nor license. Therefore Coda-consonants are neither supported (by Licensing) nor damaged (by Government). internal Coda (boldfaced) final Coda (boldfaced) Gov Gov O N O N O N | | | | | | C V R T V Lic Gov Gov O N O N | | | | C V R # Lic e. ok thats it you will be relieved of empty,10.1.1.1.2415,b. the Empty Category Principle,?
Performance Impact of Addressing Modes on Encryption Algorithms,A. Murat Fiskiran et al.,2001,Encryption algorithms commonly use table lookups to perform substitution which is a confusion primitive. The use of table lookups in this way is especially common in the more recent encryption algorithms such as the AES finalists like MARS and Twofish and the AES winner Rijndael. Workload characterization studies indicate that these algorithms spend a significant fraction of their execution cycles on performing these table lookups more specifically on effective address calculations. This study . . . ,10.1.1.1.2416,?,?
Commercial Simulation Over The Web,Larry Whitman  Brian Huff  Senthil Palaniswamy D. J. Medeiros E. F. Watson J. S. Carson M. S. Manivannan,1998,Modeling and simulation provide objective analysis tools for many fields including manufacturing. This paper presents the requirements and describes the usefulness of a web-based interface to discrete-event simulation. A description of related efforts is first presented and an approach is then described. The approach develops a webbased interface to use commercial discrete-event commercial tools.,10.1.1.1.2417,?,?
Proceedings of the 1998 Winter Simulation Conference,Medeiros Watson Carson,?,Incorporation into construction engineering and management curricula of tasks that improve the abilities of students to manage the complex dynamics pressures and demands of construction sites is becoming critical to meet the demands of the construction industry. These goals are however difficult to incorporate using traditional educational tools. This paper reviews the role in construction engineering and management education of computing and information technology in general and of simulation in particular. The paper provides an overview of a Simulation Based Interactive Construction Management Learning System currently being developed at Western Michigan University (WMU) as part of a three-year project funded by the National Science Foundation and Western Michigan University.,10.1.1.1.2418,?,?
Using Multi-level Graphs for Timetable Information in Railway Systems,Frank Schulz Dorothea Wagner Christos Zaroliagis,2002,In many fields of application shortest path finding problems in  very large graphs arise. Scenarios where large numbers ofonW##O queries for shortest paths have to be processedin real-time appear for examplein tra#cinc5###HF5 systems.In such systems the techn5Ww# con sidered to speed up the shortest pathcomputation are usually basedon precomputed incomputed5 On approach proposedoften in thiscon text is a spacereduction where precomputed shortest paths are replaced by sin## edges with weight equal to thelenOq of the corresponres shortest  path.In this paper we give a first systematic experimen tal study of such a spacereduction approach. Wein troduce theconOkW of multi-level graph decomposition Foron specificapplication scenica from the field of timetable information in public tranc ort we perform a detailed anai ysisan experimen tal evaluation of shortest path computation based on multi-level graph decomposition.,10.1.1.1.2419,?,Springer
A Generic Persistence Model for (C)LP Systems,J. Correas  J. M. Gomez M. Carro D. Cabeza M. Hermenegildo,2003,ng persistence once and for all in a reusable (system) library providing the class of persistent predicates. The main e#ect of declaring a predicate persistent (a process for which we propose a suitable syntax compatible with the Ciao systems assertion language) is that any changes made to such predicates persist from one execution to the next one and are transactional and optionally externally visible. The model allows associating an external persistent storage medium (a file a database table etc.) to each such predicate which will reside in that medium. Notably persistent predicates appear to a program as ordinary (dynamic) predicates: calls to them do not need to be coded or marked specially and the builtins to update them are (suitably modified versions of) the same used with the internal database (e.g. asserta/1 assertz/1 retract/1 etc.). Thus only minor modifications to the program code (often independent of its internal logic) are needed to achieve persistence,10.1.1.1.2420,?,?
Genome Informatics 14: 510--511 (2003) Structure-Thermodynamic Relationship in Protein-DNA Binding: Heat Capacity Changes,Hatsuho Uedaira Hidetoshi Hidetoshi Kono Prabakaran Ponraj Koji Kitajima Akinori Sarai,?,this paper we will discuss the relationship between experimental #C p and #ASA upon binding calculated based on the structural information and the prediction of #C p based on #ASA,10.1.1.1.2421,protein-nucleic acid interactions database heat capacity change solvent accessible surface,?
Prediction of Protein-Protein Interactions from Phylogenetic Trees Using . . . ,Tetsuya Sato Yoshihiro Yamanishi Katsuhisa Horimoto Hiroyuki Toh Minoru Kanehisa,2003,?,10.1.1.1.2422,protein-protein interactions phylogenetic tree co-evolution partial correlation coefficient,?
Using P-trees,Qin Ding Qiang Ding William Perrizo,?,Association Rule Mining originally proposed for market basket data has potential applications in many areas. Remote Sensed Imagery (RSI) data is one of the promising application areas. Extracting interesting patterns and rules from datasets composed of images and associated ground data can be of importance in precision agriculture community planning resource discovery and other areas. However in most cases the image data sizes are too large to be mined in a reasonable amount of time using existing algorithms. In this paper we propose an approach to derive association rules on RSI data using Peano Count Tree (P-tree) structure. P-tree structure proposed in our previous work [21] provides a lossless and compressed representation of image data. Based on P-trees an efficient association rule mining algorithm P-ARM with fast support calculation and significant pruning techniques are introduced to improve the efficiency of the rule mining process. P-ARM algorithm is implemented and compared with FP-growth and Apriori algorithms. Experimental results showed that our algorithm is superior for association rule mining on RSI spatial data.,10.1.1.1.2423,Data Mining Association Rule Mining Remote Sensed Imagery (RSI) 1 Patents are pending on the P-tree technology,?
Individualised Revision Material for Use on a Handheld Computer,Susan Bull Eileen Reid,2004,?,10.1.1.1.2424,learner model revision material,?
On The Rayleigh Nature Of Gabor Filter Outputs,Sitaram Bhagavathy Jelena B. S. Manjunath,2003,Texture has been recognized as an important visual primitive  in image analysis. A widely used texture descriptor which is part of the MPEG-7 standard is that computed using multiscale Gabor filters. The high dimensionality and computational complexity of this descriptor adversely a#ect the e#ciency of content-based retrieval systems. We propose a modified texture descriptor that has comparable performance but with nearly half the dimensionality and less computational expense. This gain is based on a claim that the distribution of (absolute values of) filter outputs have a strong tendency to be Rayleigh. Experimental results show that the dimensionality can be reduced by almost 50% with a tradeo# of less than 3% on the error rate. Furthermore it is easy to compute the new feature using the old one without having to repeat the computationally expensive filtering step. We also propose a new normalization method that improves similarity retrieval and indexing e#ciency.,10.1.1.1.2425,?,?
Wavelet-Based Texture Retrieval Using Generalized Gaussian Density and Kullback-Leibler Distance,Minh N. Do Martin Vetterli,2002,We present a statistical view of the texture retrieval problem by combining the two related tasks namely feature extraction (FE) and similarity measurement (SM) into a joint modeling and classification scheme. We show that using a consistent estimator of texture model parameters for the FE step followed by computing the Kullback--Leibler distance (KLD) between estimated models for the SM step is asymptotically optimal in term of retrieval error probability. The statistical scheme leads to a new wavelet-based texture retrieval method that is based on the accurate modeling of the marginal distribution of wavelet coefficients using generalized Gaussian density (GGD) and on the existence a closed form for the KLD between GGDs. The proposed method provides greater accuracy and flexibility in capturing texture information while its simplified form has a close resemblance with the existing methods which uses energy distribution in the frequency domain to identify textures. Experimental results on a database of 640 texture images indicate that the new method significantly improves retrieval rates e.g. from 65% to 77% compared with traditional approaches while it retains comparable levels of computational complexity.,10.1.1.1.2426,?,?
Ordering Broken Unit Tests for Focused Debugging,Markus Gälli Michele Lanza Oscar Nierstrasz  Roel Wuyts,2004,Current unit test frameworks present broken unit tests in an arbitrary order but developers want to focus on the most specific ones first. We have therefore inferred a partial order of unit tests corresponding to a coverage hierarchy of their sets of covered method signatures: When several unit tests in this coverage hierarchy break we can guide the developer to the test calling the smallest number of methods. Our experiments with four case studies indicate that this partial order is semantically meaningful since faults that cause a unit test to break generally cause less specific unit tests to break as well.,10.1.1.1.2427,Unit testing debugging,?
A Biometric Identity Based Signature Scheme,Andrew Burnett  Adam Duffy  Tom Dowling Nui Maynooth,2004,We describe an identity based signature scheme that uses biometric information to construct the  public key. Such a scheme would be beneficial in a legal dispute over whether a contract had been signed  or not by a user. A biometric reading provided by the alleged signer would be enough to verify the  signature. We make use of Fuzzy extractors [7] to generate a key string from a biometric measurement.,10.1.1.1.2428,?,?
Stuck between aesthetics and commercialization?,Betina Nakel Andersen Marie Terp Mester Lone Kristensen,2004,In this paper we will do a heuristic evaluation on a homepage that belongs to an illustrator who wants to show his work. Before we present the result of the evaluation we will shortly explain the context. The result of the heuristic evaluation falls in two parts. First we look at some of the usability problems we discovered overall at the website and secondly we look at one particular problem with the website where the illustrator tries to sell his book. After each part we present some recommendations to the problems. Finally we try to answer some of the questions that arose when we carried out the evaluation. Questions like -- is it possible to do a traditional heuristic evaluation on a website which aim is rather aesthetic than commercial? Is a website aesthetic if it has a commercial touch? And finally what are the problems with heuristic evaluation in this content?  KEYWORDS: Heuristic evaluation website aesthetic commercial user involvement  ,10.1.1.1.2429,Heuristic evaluation website aesthetic commercial user,?
Distributed Spatio-Temporal Modeling and Simulation,E. Yücesan C. -h. Chen J. L. Snowdon J. M. Charnes Thomas Schulze,2002,is to evolve interoperability standards to develop flexible and scalable controlling and simulation services. In order to overcome the limitations of proprietary solutions efforts have been made to support interoperability among simulation models and geo information systems (GIS). Existing standards in the domain of spatial information and spatial services define geoinformation (GI) in a more or less static way. Though time can be handled as an additional attribute its representation is not explicitly specified. In contrast as the standard for distributed heterogeneous simulation the High Level Architecture (HLA) provides a framework for distributed time-variant simulation processes but HLA is lacking in supporting spatial information. A web-based Distributed spAtio-temporaL In- teroperability architecture DALI integrating these initiatives will be presented here. The long term goal of this DALI Architecture is making standardized off-theshelf GI and simulation services usable for highly specialized simulation and controlling applications.,10.1.1.1.2431,?,?
A Web Service-based Experiment Management System for the Grids,Radu Prodan  Thomas Fahringer,2002,We have developed ZENTURIO which is an experiment management system for performance and parameter studies as well as software testing for cluster and Grid architectures. In this paper we describe our experience with developing ZENTURIO as a collection of Web services. A directivebased language called ZEN is used to annotate arbitrary  les and specify arbitrary application parameters. An Experiment Generator Web service parses annotated application les and generates appropriate codes for experiments. An Experiment Executor Web service compiles executes and monitors experiments on a single or a set of local machines on the Grid. Factory and Registry services are employed to create and register Web services respectively. An event infrastructure has been customised to support high-level events under ZENTURIO in order to avoid expensive polling and to detect important system and application status information. A graphical user portal allows the user to generate control and monitor experiments. We compare our design with the Open Grid Service Architecture (OGSA) and highlight similarities and dierences. We report results of using ZENTURIO to conduct performance analysis of a material science code that executes on the Grid under the Globus Grid infrastructure.,10.1.1.1.2432,?,IEEE Computer Society
Photometric Stereo for Archeological Inscriptions (sketches 0338),Per Einarsson Tim Tim Hawkins Paul Debevec,?,One of the input image for an inscription on a column of the Parthenon.  The light-capturing frame (Fig. 1) consists of fiducials and MacBeth color checker chart samples from which the cameras position and the incident radiant intensity can be estimated as well as two glossy black spheres used to indicate the position of the light source. To reconstruct each object we re-adjusted the size of the frame and placed it around the geometry. We took approximately ten images each lit with a remotely mounted camera flash at a different position pointed towards the center of the frame. For each set of images we also took an additional image without the flash which was subtracted from the other images to remove any ambient # e-mail:einarsson timh debevec@ict.usc.edu  lighting. The full process including setup took approximately 20 minutes for each inscription.  To compute a surface normal map we first determine the light vector  l by shooting rays from the cameras center toward the o,10.1.1.1.2433,?,?
Three design Patterns for Secure Distributed Systems,Alan Karp Alan H. Karp Kevin Smathers Kevin Smathers,2003,The computers we use are not secure and they are even less so when connected to the Internet. A lot of blame has been put on lazy sysadmins for not applying patches promptly but the fault is not entirely theirs. We believe that distributed systems should be designed to make attacks harder and to limit the damage done when attacks succeed. We propose three components of the system architecture that address these goals and make distributed systems easier to monitor and manage while simplifying the task of writing secure applications. Following these guidelines wont make the system secure but doing so will make it easier to build systems that are.,10.1.1.1.2434,?,?
Information Visualization Supporting Modelling and Evaluation of Tasks for Climate Models,S. Chick  Uwe Böhm P. J. Sánchez D. Ferrin D. J. Morrice Thomas Nocke Heidrun Schumann,2003,Information visualization exploits the phenomenal abilities of human perception to identify structures by presenting abstract data visually allowing an intuitive exploration of data to get insight to draw conclusions and to interact directly with the data. The specification analysis and evaluation of complex models and simulated model data can benefit from information visualization techniques by obtaining visual support for different tasks. This paper presents an approach that combines modelling and visualization functionality to support the modelling process. Based on this general approach we have developed and implemented a framework that allows to combine a variety of models with statistical and analytical operators as well as with visualization methods. We present several examples in the context of climate modelling.,10.1.1.1.2436,?,?
Proceedings of the 2003 Winter Simulation Conference,Chick Snchez Ferrin S. Chick P. J. Sánchez D. Ferrin D. J. Morrice,?,Typically large-scale optimistic parallel simulations will spend 90% or more of the total execution time forward processing events and very little time executing rollbacks. In fact it was recently shown that a large-scale TCP model consisting of over 1 million nodes will execute without generating any rollbacks (i.e. perfect optimistic execution is achieved). The major cost involved in forward execution is the preparation for a rollback in the form of state-saving. Using a technique called reverse computation state-saving overheads can be greatly reduced. Here the rollback operation is realized by executing previously processed events in reverse. However events are retained until GVT sweeps past. In this paper we define a new algorithm for realizing a continuum of reverse computation-based parallel simulation systems which enables us to relax the computing of GVT and potentially further reduces the amount of memory required to execute an optimistic simulation.,10.1.1.1.2437,?,?
Proceedings of the 2003 Winter Simulation Conference,Chick Snchez Ferrin S. Chick P. J. Sánchez D. Ferrin D. J. Morrice Eleazer Martin,?,Large corporations can achieve significant cost savings by developing and employing a sophisticated and continuously updated billing and credit policy. Days of sale outstanding (DSO) is a major cost driver for corporations with large revenues as this leads to an increased risk of default increased dunning and collection costs a non-optimal billing procedure with attendant costs and perhaps most importantly an increase in the order-to-cash cycle time and the significant increase in hidden costs this implies. Segmentation of the customer base according to behavior and risk combined with the design of bespoke billing and credit policies suited to the behavior and risk associated with each segment can lead to a significant decrease in the costs mentioned above. This paper illustrates the work done at Norways largest telecommunication operator Telenor to address these issues using the continuous simulation methodology as well as other econometric tools.,10.1.1.1.2438,?,?
Probability matching . . . ,W. Todd Maddox Corey J. Bohil,2004,?,10.1.1.1.2439,?,?
Extraction of Speaker Features from Different Stages of DSR Front-ends for Distributed Speaker Verification,Man-Wai Mak Chin-hung Sit Hong Kong Sun-yuan Kung,2004,The ETSI has recently published a front-end processing standard for distributed speech  recognition systems. The key idea of the standard is to extract the spectral features of  speech signals at the front-end terminals so that acoustic distortion caused by communication  channels can be avoided. This paper investigates the e#ect of extracting spectral features  from di#erent stages of the front-end processing on the performance of distributed speaker  verification systems. A technique that combines handset selectors with stochastic feature  transformation is also employed in a back-end speaker verification system to reduce the  acoustic mismatch between di#erent handsets. Because the feature vectors obtained from  the back-end server are vector quantized the paper proposes two approaches to adding  Gaussian noise to the quantized feature vectors for training the Gaussian mixture speaker  models. In one approach the variances of the Gaussian noise are made dependent on the  codeword distance. In another approach the variances are a function of the distance between  some unquantized training vectors and their closest code vector. The HTIMIT corpus was  # Correspondence should be sent to M.W. Mak Dept. of Electronic and Information Engineering The Hong Kong Polytechnic University Hong Kong. Email: enmwmak@polyu.edu.hk. Tel: (852)27666257. Fax: (852)23628439.,10.1.1.1.2440,Distributed speaker verification DSR DSR front-end processing feature,?
